Fecha,Ventas
2015-01-01,6222
2015-01-02,3368
2015-01-05,498
2015-01-07,29246
2015-01-08,6927
2015-01-09,46199
2015-01-10,29013
2015-01-13,6434
2015-01-14,7181
2015-01-15,10099
2015-01-16,5874
2015-01-17,2932
2015-01-19,36429
2015-01-20,8672
2015-01-21,126961
2015-01-22,1028395
2015-01-23,748
2015-01-24,2559
2015-01-26,12422
2015-01-27,32429
2015-01-28,11816
2015-01-29,5746
2015-01-30,1511
2015-01-31,18993
2015-02-02,163877
2015-02-03,11557
2015-02-05,16101
2015-02-06,22350
2015-02-07,8895
2015-02-09,54685
2015-02-11,4219
2015-02-12,194448
2015-02-13,9522
2015-02-14,3706
2015-02-16,3924
2015-02-17,14510
2015-02-18,12667
2015-02-19,21253
2015-02-20,25324
2015-02-21,14876
2015-02-23,24118
2015-02-24,7067
2015-02-25,18343
2015-02-26,1905
2015-02-27,24061
2015-02-28,876
2015-03-03,8395
2015-03-04,1804
2015-03-05,1275
2015-03-06,11405
2015-03-09,31246
2015-03-10,12911
2015-03-11,7314
2015-03-12,2823
2015-03-13,24135
2015-03-14,906
2015-03-16,7870
2015-03-17,87867
2015-03-19,4866
2015-03-20,1482
2015-03-21,5108
2015-03-24,9119
2015-03-25,3992
2015-03-26,1494
2015-03-27,19979
2015-03-28,8586
2015-03-30,68709
2015-03-31,81661
2015-04-01,3582
2015-04-02,6764
2015-04-03,7401
2015-04-04,27146
2015-04-06,104
2015-04-07,2932
2015-04-08,1515
2015-04-09,1449
2015-04-10,74226
2015-04-11,46129
2015-04-13,8551
2015-04-14,29451
2015-04-15,1322
2015-04-16,897
2015-04-17,3605
2015-04-18,13481
2015-04-20,1119
2015-04-21,4199
2015-04-22,3911
2015-04-23,7756
2015-04-24,2984
2015-04-25,53612
2015-04-29,2686
2015-04-30,1210
2015-05-01,18942
2015-05-02,5770
2015-05-04,4698
2015-05-05,9086
2015-05-06,7953
2015-05-07,14158
2015-05-08,8514
2015-05-09,8262
2015-05-12,17248
2015-05-13,1588
2015-05-14,684004
2015-05-15,5524
2015-05-16,17819
2015-05-18,141386
2015-05-19,483
2015-05-20,21638
2015-05-21,5556
2015-05-22,9819
2015-05-23,9149
2015-05-25,16917
2015-05-26,5812
2015-05-27,1661
2015-05-28,9288
2015-05-29,1810
2015-05-30,13115
2015-06-01,9588
2015-06-02,7285
2015-06-06,5666
2015-06-08,153400
2015-06-09,15995
2015-06-10,2219
2015-06-12,71079
2015-06-13,8731
2015-06-15,15899
2015-06-16,14688
2015-06-17,3274
2015-06-18,193871
2015-06-19,3418
2015-06-20,8673
2015-06-22,597
2015-06-24,3183
2015-06-25,5214
2015-06-26,9118
2015-06-27,16998
2015-06-29,7635
2015-06-30,6594
2015-07-01,23406
2015-07-02,170980
2015-07-03,22906
2015-07-04,11955
2015-07-06,5408
2015-07-07,8774
2015-07-08,4615
2015-07-09,4698
2015-07-10,228
2015-07-13,10358
2015-07-14,2419
2015-07-15,14876
2015-07-16,9346
2015-07-17,19516
2015-07-20,9321
2015-07-21,4490
2015-07-22,10249
2015-07-23,2304
2015-07-25,49233
2015-07-27,39459
2015-07-28,3121
2015-07-29,13712
2015-08-01,10727
2015-08-03,2050
2015-08-04,159199
2015-08-05,0
2015-08-06,519453
2015-08-07,4870
2015-08-08,45972
2015-08-10,19084
2015-08-11,50778
2015-08-12,28574
2015-08-13,14071
2015-08-14,7475
2015-08-15,6307
2015-08-17,18117
2015-08-18,6453
2015-08-19,14960
2015-08-21,6486
2015-08-22,19460
2015-08-24,175378
2015-08-25,1173
2015-08-26,127361
2015-08-27,11087
2015-08-28,28490
2015-08-29,26447
2015-08-31,59759
2015-09-01,316
2015-09-02,10148
2015-09-03,7400
2015-09-04,12376
2015-09-05,0
2015-09-07,2444
2015-09-08,4380
2015-09-09,5478
2015-09-10,14843
2015-09-12,14464
2015-09-14,10184
2015-09-15,2702
2015-09-16,17121
2015-09-17,874
2015-09-19,4490
2015-09-21,18834
2015-09-22,1368
2015-09-23,1122
2015-09-25,2202
2015-09-28,8227
2015-09-29,2796
2015-09-30,8697
2015-10-01,3639
2015-10-02,3954
2015-10-03,7494
2015-10-05,9274
2015-10-07,436
2015-10-09,7974
2015-10-10,8157
2015-10-12,5732
2015-10-13,17377
2015-10-14,3687
2015-10-15,2101
2015-10-16,7110
2015-10-17,8539
2015-10-19,7163
2015-10-20,3623
2015-10-21,2069
2015-10-22,10607
2015-10-23,4622
2015-10-24,101966
2015-10-26,857
2015-10-27,31546
2015-10-28,86521
2015-10-29,10687
2015-10-30,9295
2015-11-02,1848
2015-11-04,12613
2015-11-05,815
2015-11-06,6107
2015-11-07,91549
2015-11-09,2623
2015-11-10,4660
2015-11-11,19804
2015-11-12,29039
2015-11-13,6641
2015-11-14,4673
2015-11-16,6798
2015-11-17,3444
2015-11-18,24865
2015-11-19,18758
2015-11-21,2188
2015-11-23,19041
2015-11-25,4304
2015-11-27,1459
2015-11-28,12966
2015-11-30,6265
2015-12-01,21778
2015-12-02,81335
2015-12-03,6091
2015-12-04,376
2015-12-07,24138
2015-12-08,3519
2015-12-10,34814
2015-12-12,1812
2015-12-14,58842
2015-12-15,5315
2015-12-17,22436
2015-12-18,1619
2015-12-19,34163
2015-12-21,2594
2015-12-22,13627
2015-12-23,3237
2015-12-24,12244
2015-12-25,64466
2015-12-26,8116
2015-12-29,1959
2015-12-31,12084
2016-01-01,1632
2016-01-02,85309
2016-01-04,24061
2016-01-05,3614
2016-01-06,155435
2016-01-07,24394
2016-01-08,22097
2016-01-09,612883
2016-01-11,119445
2016-01-12,71838
2016-01-13,35397
2016-01-14,23128
2016-01-15,227545
2016-01-18,4433
2016-01-19,3549
2016-01-20,33486
2016-01-21,20539
2016-01-22,1213
2016-01-23,3564
2016-01-25,9850
2016-01-26,171859
2016-01-27,80711
2016-01-28,28641
2016-01-29,996
2016-01-30,39026
2016-02-01,5519
2016-02-02,217755
2016-02-03,2260
2016-02-04,2240
2016-02-05,432729
2016-02-06,3114
2016-02-08,12590
2016-02-09,2114
2016-02-10,19977
2016-02-11,27802
2016-02-12,17986
2016-02-13,46720
2016-02-15,19982
2016-02-16,112
2016-02-17,4708
2016-02-18,42619
2016-02-19,21182
2016-02-20,20500
2016-02-22,398
2016-02-24,6951
2016-02-25,15601
2016-02-26,20441
2016-02-27,13163
2016-02-29,10817
2016-03-01,64211
2016-03-02,15462
2016-03-03,36383
2016-03-04,25378
2016-03-05,27583
2016-03-07,13584
2016-03-08,4461
2016-03-09,66509
2016-03-10,6957
2016-03-11,421
2016-03-12,11884
2016-03-14,1120
2016-03-15,620297
2016-03-16,12275
2016-03-17,26
2016-03-18,18079
2016-03-19,12215
2016-03-21,27057
2016-03-22,9589
2016-03-23,14959
2016-03-24,84556
2016-03-25,19925
2016-03-26,28615
2016-03-28,177634
2016-03-29,26923
2016-03-30,76782
2016-03-31,13015
2016-04-01,1865
2016-04-02,9069
2016-04-04,492
2016-04-05,26656
2016-04-06,37603
2016-04-07,10891
2016-04-08,29713
2016-04-09,21592
2016-04-11,22259
2016-04-12,19999
2016-04-13,17525
2016-04-14,29739
2016-04-15,60718
2016-04-16,8255
2016-04-18,15543
2016-04-20,1555
2016-04-21,11113
2016-04-22,10365
2016-04-23,8877
2016-04-25,19093
2016-04-26,1462
2016-04-27,20517
2016-04-28,27174
2016-04-29,8893
2016-04-30,25140
2016-05-02,11637
2016-05-03,10787
2016-05-04,233466
2016-05-05,121412
2016-05-06,4665
2016-05-07,757
2016-05-09,7164
2016-05-10,2873
2016-05-11,2201203
2016-05-12,22857
2016-05-13,13504
2016-05-14,27531
2016-05-16,10369
2016-05-17,10509
2016-05-18,226379
2016-05-19,91711
2016-05-20,15914
2016-05-21,6396
2016-05-23,45123
2016-05-24,19762
2016-05-25,18684
2016-05-26,1394
2016-05-27,47784
2016-05-28,9318
2016-05-30,3050
2016-05-31,7446
2016-06-01,9079
2016-06-02,10415
2016-06-03,11979
2016-06-04,9079
2016-06-06,32072
2016-06-07,23282
2016-06-08,19800
2016-06-09,6542
2016-06-10,253795
2016-06-11,19716
2016-06-13,13222
2016-06-14,37913
2016-06-16,3837
2016-06-17,13629
2016-06-18,62449
2016-06-20,5115
2016-06-21,8761
2016-06-22,18281
2016-06-23,35781
2016-06-24,22867
2016-06-25,10790
2016-06-27,21473
2016-06-28,3376
2016-06-29,9843
2016-06-30,9311
2016-07-01,5543
2016-07-02,21034
2016-07-04,49171
2016-07-05,916
2016-07-06,88487
2016-07-07,2173
2016-07-08,26377
2016-07-09,19847
2016-07-11,66572
2016-07-12,153613
2016-07-13,24537
2016-07-14,6867
2016-07-15,10173
2016-07-16,22416
2016-07-18,8639
2016-07-19,89276
2016-07-20,4291
2016-07-21,26745
2016-07-22,6021
2016-07-23,24562
2016-07-25,13769
2016-07-26,7755
2016-07-27,718924
2016-07-28,25025
2016-07-29,13661
2016-07-30,16258
2016-08-01,4579
2016-08-02,17345
2016-08-03,4816
2016-08-04,28636
2016-08-05,2667
2016-08-06,153131
2016-08-08,8888
2016-08-09,23055
2016-08-10,17437
2016-08-11,0
2016-08-12,0
2016-08-13,9350
2016-08-15,84562
2016-08-16,13327
2016-08-17,13417
2016-08-18,3704
2016-08-19,38923
2016-08-20,19303
2016-08-22,24665
2016-08-23,10335
2016-08-24,25391
2016-08-25,41270
2016-08-26,7677
2016-08-27,104091
2016-08-29,430
2016-08-31,1950
2016-09-01,577220
2016-09-02,17899
2016-09-03,5247
2016-09-05,15738
2016-09-06,13651
2016-09-07,17669
2016-09-08,5100
2016-09-09,8679
2016-09-10,22444
2016-09-12,13054
2016-09-13,66964
2016-09-14,3719
2016-09-15,7263
2016-09-16,0
2016-09-17,14886
2016-09-19,12789
2016-09-20,3937
2016-09-21,7137
2016-09-22,6566
2016-09-23,395441
2016-09-24,4690
2016-09-26,66629
2016-09-27,187669
2016-09-28,22426
2016-09-29,16802
2016-09-30,972
2016-10-01,40878
2016-10-03,19940
2016-10-04,29702
2016-10-05,14975
2016-10-06,4054
2016-10-07,23258
2016-10-08,5572
2016-10-10,276515
2016-10-11,24861
2016-10-12,15743
2016-10-13,20500
2016-10-14,26979
2016-10-15,20658
2016-10-17,133470
2016-10-18,14543
2016-10-19,7880
2016-10-20,6972
2016-10-21,20407
2016-10-22,5206
2016-10-24,9490
2016-10-25,1030
2016-10-26,16711
2016-10-27,29698
2016-10-28,4726
2016-10-29,50991
2016-10-31,12678
2016-11-01,6225
2016-11-02,205
2016-11-03,14481
2016-11-04,18208
2016-11-05,98003
2016-11-07,35873
2016-11-08,25818
2016-11-09,31666
2016-11-10,12616
2016-11-11,2963
2016-11-12,612
2016-11-14,1108
2016-11-15,6896
2016-11-16,22335
2016-11-17,9208
2016-11-18,175096
2016-11-19,36083
2016-11-21,17653
2016-11-22,32264
2016-11-23,17153
2016-11-24,2561
2016-11-25,868107
2016-11-26,32073
2016-11-28,517063
2016-11-29,11162
2016-11-30,121366
2016-12-02,5869
2016-12-03,3995
2016-12-05,10608
2016-12-06,136509
2016-12-07,17850
2016-12-08,21700
2016-12-09,14340
2016-12-10,169991
2016-12-12,27503
2016-12-13,4518
2016-12-14,1202049
2016-12-15,11173
2016-12-16,14125
2016-12-17,3640
2016-12-19,11066
2016-12-20,2308
2016-12-21,5482
2016-12-22,22523
2016-12-23,288120
2016-12-24,6002
2016-12-26,11833
2016-12-27,29679
2016-12-28,10679
2016-12-29,6447
2016-12-30,29596
2016-12-31,10735
2017-01-02,23470
2017-01-03,11905
2017-01-04,76486
2017-01-05,25960
2017-01-06,7072
2017-01-07,12140
2017-01-09,5523
2017-01-10,5669
2017-01-11,93186
2017-01-12,42744
2017-01-13,26042
2017-01-14,109929
2017-01-16,16516
2017-01-17,131616
2017-01-18,198832
2017-01-19,26993
2017-01-20,17589
2017-01-21,28885
2017-01-23,25142
2017-01-24,86355
2017-01-25,25033
2017-01-26,224
2017-01-27,12416
2017-01-28,12940
2017-01-30,7093
2017-01-31,7198
2017-02-01,55201
2017-02-02,7480
2017-02-03,23503
2017-02-04,108376
2017-02-06,190672
2017-02-07,47972
2017-02-08,1431
2017-02-09,40034
2017-02-10,44327
2017-02-11,65934
2017-02-13,31588
2017-02-14,2839
2017-02-15,372414
2017-02-16,796
2017-02-17,22906
2017-02-18,30174
2017-02-20,7806
2017-02-21,5442
2017-02-22,17779
2017-02-23,41987
2017-02-24,38362
2017-02-25,22022
2017-02-27,16401
2017-02-28,239446
2017-03-01,24521
2017-03-02,203453
2017-03-03,40659
2017-03-04,11282
2017-03-07,9101
2017-03-08,7966
2017-03-09,21795
2017-03-10,57164
2017-03-11,7033
2017-03-13,16039
2017-03-14,35438
2017-03-15,47919
2017-03-16,34193
2017-03-17,18921
2017-03-18,26179
2017-03-20,23374
2017-03-21,26591
2017-03-22,29614
2017-03-23,912
2017-03-24,0
2017-03-25,9638
2017-03-27,15428
2017-03-28,37152
2017-03-29,30919
2017-03-30,16882
2017-03-31,24458
2017-04-01,9377
2017-04-03,50905
2017-04-04,26166
2017-04-05,56199
2017-04-06,11114
2017-04-07,198902
2017-04-08,174923
2017-04-10,27675
2017-04-11,14543
2017-04-12,716898
2017-04-13,5507
2017-04-14,17178
2017-04-15,14929
2017-04-17,27615
2017-04-18,18578
2017-04-19,114283
2017-04-20,48768
2017-04-21,27492
2017-04-22,40501
2017-04-24,10535
2017-04-25,26536
2017-04-26,136177
2017-04-27,23578
2017-04-28,19990
2017-04-29,69206
2017-05-01,18466
2017-05-02,7345
2017-05-03,38711
2017-05-04,492659
2017-05-05,14706
2017-05-06,106191
2017-05-08,8727
2017-05-09,4341
2017-05-10,7039
2017-05-11,113045
2017-05-12,15547
2017-05-13,29796
2017-05-15,118650
2017-05-16,134693
2017-05-17,25212
2017-05-18,5771
2017-05-19,2515
2017-05-22,2780
2017-05-23,19353
2017-05-24,29762
2017-05-25,43207
2017-05-26,12048
2017-05-27,250068
2017-05-29,75925
2017-05-30,13488
2017-05-31,24220
2017-06-01,22290
2017-06-02,15615
2017-06-03,25741
2017-06-05,11779
2017-06-06,40459
2017-06-07,14033
2017-06-08,625
2017-06-09,10579
2017-06-10,10914
2017-06-12,607139
2017-06-13,14860
2017-06-14,27699
2017-06-15,32830
2017-06-16,4113
2017-06-17,41868
2017-06-19,216919
2017-06-20,48784
2017-06-21,6849
2017-06-22,11058
2017-06-23,4982685
2017-06-24,4489
2017-06-26,20164
2017-06-27,1032
2017-06-28,12912
2017-06-29,29078
2017-06-30,19073
2017-07-01,19584
2017-07-03,18520
2017-07-04,24733
2017-07-05,6411
2017-07-06,21612
2017-07-07,35287
2017-07-08,21497
2017-07-10,26050
2017-07-11,19934
2017-07-12,101655
2017-07-13,14063
2017-07-14,11411
2017-07-15,1545
2017-07-17,6974
2017-07-18,364067
2017-07-19,345028
2017-07-20,14652
2017-07-21,109823
2017-07-22,71106
2017-07-24,32756
2017-07-25,12246
2017-07-26,44382
2017-07-27,36132
2017-07-28,20232
2017-07-29,25076
2017-07-31,13738
2017-08-01,184158
2017-08-03,3342
2017-08-04,6386
2017-08-05,11910
2017-08-07,28557
2017-08-08,21756
2017-08-09,115767
2017-08-10,18851
2017-08-11,64572
2017-08-12,61506
2017-08-14,49837
2017-08-15,39713
2017-08-16,5473
2017-08-17,38411
2017-08-18,80943
2017-08-19,68536
2017-08-21,511800
2017-08-22,2341
2017-08-23,6616
2017-08-24,38072
2017-08-25,44537
2017-08-26,4716
2017-08-28,22842
2017-08-29,19320
2017-08-30,61142
2017-08-31,30353
2017-09-01,31010
2017-09-02,30880
2017-09-04,23493
2017-09-05,30865
2017-09-06,45749
2017-09-07,5253
2017-09-08,5128
2017-09-09,9276
2017-09-11,5131
2017-09-12,5250
2017-09-13,58962
2017-09-14,5641
2017-09-15,42701
2017-09-16,37632
2017-09-18,64337
2017-09-19,120564
2017-09-20,66228
2017-09-21,11361
2017-09-22,14111
2017-09-23,26462
2017-09-25,12905
2017-09-26,14424
2017-09-27,18553
2017-09-28,8372
2017-09-29,2807
2017-09-30,17406
2017-10-02,18336
2017-10-03,22160
2017-10-04,24740
2017-10-05,22105
2017-10-06,517984
2017-10-07,26325
2017-10-09,727269
2017-10-10,29933
2017-10-11,123215
2017-10-12,59728
2017-10-13,564304
2017-10-14,238797
2017-10-16,11834
2017-10-17,9093
2017-10-18,10395
2017-10-19,23220
2017-10-20,946522
2017-10-21,40269
2017-10-23,13464
2017-10-24,10439
2017-10-25,192755
2017-10-26,2070
2017-10-27,48662
2017-10-28,217159
2017-10-30,22344
2017-10-31,31657
2017-11-01,35659
2017-11-02,84753
2017-11-03,25706
2017-11-04,7144
2017-11-07,6217
2017-11-08,322293
2017-11-09,18515
2017-11-10,13494
2017-11-11,22536
2017-11-13,16739
2017-11-14,27791
2017-11-15,351688
2017-11-16,8663
2017-11-17,18774
2017-11-18,115268
2017-11-20,684442
2017-11-21,11665
2017-11-22,3066
2017-11-23,4139
2017-11-24,2874
2017-11-25,23337
2017-11-27,10180
2017-11-28,56520
2017-11-29,27613
2017-11-30,5797
2017-12-01,9273
2017-12-02,18310
2017-12-04,69227
2017-12-05,24466
2017-12-06,25198
2017-12-07,13649
2017-12-08,17332
2017-12-09,173020
2017-12-11,5683
2017-12-12,31784
2017-12-13,2364
2017-12-14,14561
2017-12-15,369
2017-12-16,5046
2017-12-18,55029
2017-12-19,18059
2017-12-20,29911
2017-12-21,13433
2017-12-22,29203
2017-12-23,265236
2017-12-25,15725
2017-12-26,20383
2017-12-27,70535
2017-12-28,64919
2017-12-29,104696
2017-12-30,4531
2018-01-01,2189
2018-01-02,21094
2018-01-03,18771
2018-01-04,35749
2018-01-05,31772
2018-01-06,354850
2018-01-08,27955
2018-01-09,55299
2018-01-10,76394
2018-01-11,20026
2018-01-12,24877
2018-01-13,12327
2018-01-15,37946
2018-01-16,20357
2018-01-17,40424
2018-01-18,116979
2018-01-19,2124
2018-01-20,3469
2018-01-22,123086
2018-01-23,49422
2018-01-24,15427
2018-01-25,24674
2018-01-26,569792
2018-01-27,13884
2018-01-29,27249
2018-01-30,820216
2018-01-31,130442
2018-02-01,3434
2018-02-02,4690
2018-02-03,423326
2018-02-05,31501
2018-02-06,102867
2018-02-07,6260
2018-02-08,1816
2018-02-09,20755
2018-02-10,56408
2018-02-12,1881755
2018-02-13,7958
2018-02-14,28695
2018-02-15,48305
2018-02-16,28663
2018-02-17,72531
2018-02-19,134481
2018-02-20,83395
2018-02-21,8385
2018-02-22,31849
2018-02-23,14059
2018-02-24,604817
2018-02-27,46424
2018-02-28,3705
2018-03-01,24911
2018-03-02,11322
2018-03-03,1613
2018-03-05,587946
2018-03-06,170912
2018-03-07,17192
2018-03-08,24144
2018-03-09,12279
2018-03-10,35991
2018-03-12,425467
2018-03-13,27108
2018-03-14,30206
2018-03-15,3190
2018-03-16,2459
2018-03-17,14886
2018-03-19,7190
2018-03-20,9261
2018-03-21,20760
2018-03-22,3853
2018-03-23,29682
2018-03-24,33223
2018-03-26,22906
2018-03-27,11428
2018-03-28,45429
2018-03-29,1279588
2018-03-30,45501
2018-03-31,22208
2018-04-02,32722
2018-04-03,20328
2018-04-04,15504
2018-04-05,13277
2018-04-07,16990
2018-04-09,61082
2018-04-10,15269
2018-04-11,29574
2018-04-12,141068
2018-04-13,15481
2018-04-14,92007
2018-04-16,15344
2018-04-17,511224
2018-04-18,15992
2018-04-19,151464
2018-04-20,290928
2018-04-21,46081
2018-04-23,42919
2018-04-24,2049
2018-04-25,14349
2018-04-26,14950
2018-04-27,82669
2018-04-28,37062
2018-04-30,36096
2018-05-01,11544
2018-05-02,16450
2018-05-03,21261
2018-05-04,57922
2018-05-05,17321
2018-05-07,55170
2018-05-08,49481
2018-05-09,18192
2018-05-10,54102
2018-05-11,40664
2018-05-12,11293
2018-05-14,3796
2018-05-15,8289
2018-05-16,14903
2018-05-17,26319
2018-05-18,2999
2018-05-19,48098
2018-05-21,13371
2018-05-22,136928
2018-05-23,43423
2018-05-24,9121
2018-05-25,37501
2018-05-26,11420
2018-05-28,217397
2018-05-29,4187
2018-05-30,19371
2018-05-31,3782
2018-06-01,6961
2018-06-02,24844
2018-06-04,55237
2018-06-05,20753
2018-06-06,166179
2018-06-07,21637
2018-06-08,47728
2018-06-09,51817
2018-06-11,52005
2018-06-12,50466
2018-06-13,21416
2018-06-14,36033
2018-06-15,41045
2018-06-16,37170
2018-06-18,84031
2018-06-19,29546
2018-06-20,1391
2018-06-21,19244
2018-06-22,18052
2018-06-23,12438
2018-06-25,16398
2018-06-26,270743
2018-06-27,31952
2018-06-28,16648
2018-06-29,36960
2018-06-30,15498
2018-07-02,75329
2018-07-03,20263
2018-07-04,16973
2018-07-05,25772
2018-07-06,57866
2018-07-07,15358
2018-07-10,13289
2018-07-11,17813
2018-07-12,7814
2018-07-13,400836
2018-07-14,13869
2018-07-16,259754
2018-07-17,17551
2018-07-18,56960
2018-07-19,27744
2018-07-20,18428
2018-07-21,40979
2018-07-23,346898
2018-07-24,26420
2018-07-25,24773
2018-07-26,15220
2018-07-27,21712
2018-07-28,37814
2018-07-30,10374
2018-07-31,25569
2018-08-01,8705
2018-08-02,22669
2018-08-03,36598
2018-08-04,32231
2018-08-06,29840
2018-08-07,34689
2018-08-08,54872
2018-08-09,9437
2018-08-10,74760
2018-08-11,66675
2018-08-13,23267
2018-08-14,333
2018-08-15,7277
2018-08-16,5796
2018-08-17,28257
2018-08-18,30125
2018-08-20,71973
2018-08-21,27598
2018-08-22,145723
2018-08-23,5728
2018-08-24,49876
2018-08-25,201345
2018-08-27,82609
2018-08-28,20105
2018-08-29,40786
2018-08-30,66840
2018-08-31,17164
2018-09-01,34985
2018-09-03,6978
2018-09-04,3147
2018-09-05,1120
2018-09-06,36800
2018-09-07,17706
2018-09-08,165432
2018-09-10,11837
2018-09-11,26645
2018-09-12,28684
2018-09-13,25601
2018-09-14,27352
2018-09-15,83448
2018-09-17,15960
2018-09-18,42519
2018-09-19,24853
2018-09-20,83467
2018-09-21,1596
2018-09-24,36975
2018-09-25,68185
2018-09-26,22194
2018-09-27,35091
2018-09-28,20063
2018-09-29,61097
2018-10-01,23419
2018-10-02,2623366
2018-10-03,45982
2018-10-04,17144
2018-10-05,29871
2018-10-06,318193
2018-10-08,73750812
2018-10-09,24614
2018-10-10,11468
2018-10-11,15345
2018-10-12,38686
2018-10-13,22201
2018-10-15,40852
2018-10-16,14031
2018-10-17,48148
2018-10-18,15486
2018-10-19,16242
2018-10-20,23870
2018-10-22,22627
2018-10-23,68900
2018-10-24,57652
2018-10-25,32800
2018-10-26,242270
2018-10-27,30045
2018-10-29,14696
2018-10-30,1246
2018-10-31,8498
2018-11-01,125817
2018-11-02,13958
2018-11-03,45970
2018-11-05,17394
2018-11-06,16322
2018-11-07,15528
2018-11-08,96728
2018-11-09,31617
2018-11-10,10165
2018-11-12,27491
2018-11-13,540475
2018-11-14,63305
2018-11-15,28740
2018-11-16,3620
2018-11-17,12592
2018-11-19,167054
2018-11-20,1844
2018-11-21,150192
2018-11-22,165390
2018-11-23,248290
2018-11-24,17726
2018-11-26,23333
2018-11-27,671655
2018-11-28,18083
2018-11-29,9630
2018-11-30,52452
2018-12-01,79536
2018-12-03,29519
2018-12-04,21199
2018-12-05,19686
2018-12-06,13930
2018-12-07,20342
2018-12-08,48107
2018-12-10,28295
2018-12-11,57883
2018-12-12,13455
2018-12-13,19662
2018-12-14,35127
2018-12-15,34638
2018-12-17,81956
2018-12-18,289883
2018-12-19,17157
2018-12-20,33735
2018-12-21,31267
2018-12-22,15334
2018-12-24,12105
2018-12-25,5720
2018-12-26,31512
2018-12-27,6972
2018-12-28,25856
2018-12-29,30471
2018-12-31,11764
2019-01-01,31623
2019-01-02,28244
2019-01-03,47650
2019-01-04,58369
2019-01-05,612524
2019-01-07,29034
2019-01-08,63635
2019-01-09,238352
2019-01-10,24179
2019-01-11,8871
2019-01-12,29682
2019-01-14,31627
2019-01-15,72377
2019-01-16,24548
2019-01-17,88086
2019-01-18,50569
2019-01-19,66877
2019-01-21,88620
2019-01-22,33310
2019-01-23,410975
2019-01-24,45976
2019-01-25,11867
2019-01-26,550597
2019-01-28,18265
2019-01-29,55456
2019-01-30,21879
2019-01-31,12248
2019-02-01,116842
2019-02-02,13512
2019-02-04,41994
2019-02-05,56243
2019-02-06,33804
2019-02-07,646267
2019-02-08,14615
2019-02-09,89914
2019-02-11,119639
2019-02-12,202990
2019-02-13,57675
2019-02-14,281884
2019-02-15,27805
2019-02-16,30860
2019-02-18,471682
2019-02-19,2609
2019-02-20,6402
2019-02-21,6366
2019-02-22,33371
2019-02-23,19663
2019-02-25,43554
2019-02-26,80409
2019-02-27,80110
2019-02-28,97788
2019-03-01,94352
2019-03-02,98249
2019-03-04,20327
2019-03-05,14004
2019-03-06,25897
2019-03-07,47729
2019-03-08,34624
2019-03-09,45193
2019-03-11,13175
2019-03-12,10269
2019-03-13,612666
2019-03-14,26605
2019-03-15,217414
2019-03-16,6033
2019-03-18,27247
2019-03-19,63323
2019-03-20,159782
2019-03-21,63563
2019-03-22,29220
2019-03-23,75533
2019-03-25,9943
2019-03-26,269470
2019-03-27,325111
2019-03-28,42337
2019-03-29,810
2019-03-30,16204
2019-04-01,29341
2019-04-02,18382
2019-04-03,26136
2019-04-04,21772
2019-04-05,14624
2019-04-06,37038
2019-04-08,76127
2019-04-09,17218
2019-04-10,62330
2019-04-11,43250
2019-04-12,20480
2019-04-13,114815
2019-04-15,30808
