Fecha,Ventas
2015-01-31,112
2015-02-28,123
2015-03-31,106
2015-04-30,95
2015-05-31,117
2015-06-30,99
2015-07-31,99
2015-08-31,129
2015-09-30,75
2015-10-31,92
2015-11-30,85
2015-12-31,92
2016-01-31,181
2016-02-29,151
2016-03-31,161
2016-04-30,162
2016-05-31,164
2016-06-30,141
2016-07-31,169
2016-08-31,159
2016-09-30,184
2016-10-31,165
2016-11-30,189
2016-12-31,159
2017-01-31,232
2017-02-28,245
2017-03-31,237
2017-04-30,259
2017-05-31,232
2017-06-30,187
2017-07-31,227
2017-08-31,224
2017-09-30,213
2017-10-31,256
2017-11-30,207
2017-12-31,248
2018-01-31,284
2018-02-28,231
2018-03-31,280
2018-04-30,273
2018-05-31,287
2018-06-30,309
2018-07-31,259
2018-08-31,332
2018-09-30,259
2018-10-31,275
2018-11-30,286
2018-12-31,284
2019-01-31,382
2019-02-28,323
2019-03-31,351
2019-04-30,340
2019-05-31,338
2019-06-30,343
2019-07-31,350
2019-08-31,359
2019-09-30,366
2019-10-31,327
2019-11-30,350
2019-12-31,341
2020-01-31,700
2020-02-29,700
2020-03-31,711
2020-04-30,696
2020-05-31,731
2020-09-30,764
