Fecha,Ventas
2015-01-31,165
2015-02-28,152
2015-03-31,160
2015-04-30,134
2015-05-31,141
2015-06-30,152
2015-07-31,184
2015-08-31,169
2015-09-30,141
2015-10-31,156
2015-11-30,147
2015-12-31,142
2016-01-31,251
2016-02-29,185
2016-03-31,216
2016-04-30,223
2016-05-31,216
2016-06-30,213
2016-07-31,195
2016-08-31,239
2016-09-30,224
2016-10-31,206
2016-11-30,219
2016-12-31,209
2017-01-31,185
2017-02-28,197
2017-03-31,205
2017-04-30,212
2017-05-31,211
2017-06-30,202
2017-07-31,205
2017-08-31,180
2017-09-30,178
2017-10-31,215
2017-11-30,189
2017-12-31,211
2018-01-31,162
2018-02-28,168
2018-03-31,186
2018-04-30,161
2018-05-31,181
2018-06-30,157
2018-07-31,151
2018-08-31,197
2018-09-30,142
2018-10-31,170
2018-11-30,161
2018-12-31,159
2019-01-31,148
2019-02-28,128
2019-03-31,123
2019-04-30,138
2019-05-31,134
2019-06-30,145
2019-07-31,134
2019-08-31,139
2019-09-30,140
2019-10-31,132
2019-11-30,165
2019-12-31,125
2020-01-31,181
2020-02-29,188
2020-03-31,153
2020-04-30,164
2020-05-31,157
2020-06-30,91
2020-07-31,137
2020-08-31,45
2020-09-30,187
2020-10-31,64
2020-11-30,114
2020-12-31,75
